Date,Time,Visitor,G,Home,G,,Att.,LOG,Notes
2019-10-10,7:00 PM,Anaheim Ducks,1,Pittsburgh Penguins,2,,18414,2:30,
2019-10-10,7:00 PM,Tampa Bay Lightning,7,Toronto Maple Leafs,3,,19387,2:24,
2019-10-10,8:00 PM,Minnesota Wild,2,Winnipeg Jets,5,,15325,2:29,
2019-10-11,7:00 PM,Florida Panthers,2,Buffalo Sabres,3,SO,15638,2:40,
2019-10-11,7:30 PM,New York Islanders,2,Carolina Hurricanes,5,,14875,2:34,
2019-10-11,7:00 PM,Anaheim Ducks,2,Columbus Blue Jackets,1,,15368,2:15,
2019-10-12,7:00 PM,New Jersey Devils,0,Boston Bruins,3,,17193,2:24,
2019-10-12,7:00 PM,Columbus Blue Jackets,3,Carolina Hurricanes,2,,16224,2:35,
2019-10-12,7:00 PM,Winnipeg Jets,3,Chicago Blackhawks,2,OT,21340,2:24,
2019-10-12,9:00 PM,Arizona Coyotes,2,Colorado Avalanche,3,OT,18053,2:39,
2019-10-12,8:00 PM,Washington Capitals,4,Dallas Stars,1,,18532,2:39,
2019-10-12,7:00 PM,Toronto Maple Leafs,5,Detroit Red Wings,2,,19515,2:23,
2019-10-12,6:00 PM,Nashville Predators,4,Los Angeles Kings,7,,18230,2:28,
2019-10-12,8:30 PM,Pittsburgh Penguins,7,Minnesota Wild,4,,19157,2:44,
2019-10-12,7:00 PM,St. Louis Blues,3,Montreal Canadiens,6,,21302,2:32,
2019-10-12,7:00 PM,Florida Panthers,2,New York Islanders,3,SO,11421,2:42,
2019-10-12,1:00 PM,Edmonton Oilers,4,New York Rangers,1,,17177,2:25,
2019-10-12,4:00 PM,Tampa Bay Lightning,2,Ottawa Senators,4,,11023,2:28,
2019-10-12,10:00 PM,Philadelphia Flyers,2,Vancouver Canucks,3,SO,18652,2:39,
2019-10-12,10:00 PM,Calgary Flames,2,Vegas Golden Knights,6,,18192,2:26,
2019-10-13,10:00 PM,Vegas Golden Knights,5,Los Angeles Kings,2,,17699,2:26,
2019-10-13,10:00 PM,Calgary Flames,1,San Jose Sharks,3,,16250,2:29,
2019-10-13,7:00 PM,Pittsburgh Penguins,7,Winnipeg Jets,2,,15325,2:30,
2019-10-14,1:00 PM,Anaheim Ducks,2,Boston Bruins,4,,17193,2:41,
2019-10-14,3:00 PM,Dallas Stars,0,Buffalo Sabres,4,,16595,2:19,
2019-10-14,8:30 PM,Edmonton Oilers,1,Chicago Blackhawks,3,,21260,2:25,
2019-10-14,1:00 PM,Florida Panthers,6,New Jersey Devils,4,,13208,2:22,
2019-10-14,1:00 PM,St. Louis Blues,2,New York Islanders,3,OT,10355,2:35,
2019-10-14,1:00 PM,Minnesota Wild,2,Ottawa Senators,0,,11500,2:35,
2019-10-14,5:00 PM,Colorado Avalanche,6,Washington Capitals,3,,18573,2:38,
2019-10-15,9:00 PM,Philadelphia Flyers,1,Calgary Flames,3,,17771,2:32,
2019-10-15,10:30 PM,Carolina Hurricanes,2,Los Angeles Kings,0,,14219,2:31,
2019-10-15,7:00 PM,Tampa Bay Lightning,3,Montreal Canadiens,1,,20406,2:29,
2019-10-15,7:00 PM,Minnesota Wild,2,Toronto Maple Leafs,4,,19149,2:26,
2019-10-15,10:00 PM,Detroit Red Wings,1,Vancouver Canucks,5,,18183,,
2019-10-15,10:00 PM,Nashville Predators,5,Vegas Golden Knights,2,,18188,2:31,
2019-10-15,8:00 PM,Arizona Coyotes,4,Winnipeg Jets,2,,14764,2:24,
2019-10-16,10:00 PM,Buffalo Sabres,2,Anaheim Ducks,5,,15193,3:00,
2019-10-16,7:00 PM,Dallas Stars,2,Columbus Blue Jackets,3,,14683,2:29,
2019-10-16,9:30 PM,Philadelphia Flyers,3,Edmonton Oilers,6,,17107,2:33,
2019-10-16,7:00 PM,Colorado Avalanche,2,Pittsburgh Penguins,3,OT,18458,2:45,
2019-10-16,10:30 PM,Carolina Hurricanes,2,San Jose Sharks,5,,15143,2:31,
2019-10-16,7:00 PM,Toronto Maple Leafs,3,Washington Capitals,4,,18573,2:24,
2019-10-17,10:00 PM,Nashville Predators,2,Arizona Coyotes,5,,13521,2:31,
2019-10-17,7:00 PM,Tampa Bay Lightning,4,Boston Bruins,3,SO,17193,2:53,
2019-10-17,9:00 PM,Detroit Red Wings,1,Calgary Flames,5,,18232,2:22,
2019-10-17,10:30 PM,Buffalo Sabres,3,Los Angeles Kings,0,,17605,2:25,
2019-10-17,7:00 PM,Minnesota Wild,0,Montreal Canadiens,4,,20419,2:29,
2019-10-17,7:00 PM,New York Rangers,2,New Jersey Devils,5,,16514,3:21,
2019-10-17,8:00 PM,Vancouver Canucks,4,St. Louis Blues,3,SO,18096,2:43,
2019-10-17,10:00 PM,Ottawa Senators,2,Vegas Golden Knights,3,SO,18171,2:54,
2019-10-17,8:00 PM,New York Islanders,3,Winnipeg Jets,1,,15063,2:28,
2019-10-18,10:00 PM,Carolina Hurricanes,2,Anaheim Ducks,4,,14755,2:46,
2019-10-18,8:30 PM,Columbus Blue Jackets,2,Chicago Blackhawks,3,OT,21518,2:23,
2019-10-18,9:00 PM,Detroit Red Wings,1,Edmonton Oilers,2,,17420,2:19,
2019-10-18,7:00 PM,Colorado Avalanche,5,Florida Panthers,4,OT,13382,2:29,
2019-10-18,7:00 PM,Dallas Stars,2,Pittsburgh Penguins,4,,18482,2:23,
2019-10-18,7:00 PM,New York Rangers,2,Washington Capitals,5,,18573,2:27,
2019-10-19,7:00 PM,Ottawa Senators,2,Arizona Coyotes,5,,17125,2:27,
2019-10-19,7:00 PM,New York Islanders,3,Columbus Blue Jackets,2,OT,15276,2:27,
2019-10-19,10:00 PM,Calgary Flames,1,Los Angeles Kings,4,,18230,2:32,
2019-10-19,1:00 PM,Vancouver Canucks,0,New Jersey Devils,1,,13818,2:49,
2019-10-19,8:00 PM,Florida Panthers,3,Nashville Predators,2,SO,17534,2:33,
2019-10-19,7:00 PM,Dallas Stars,4,Philadelphia Flyers,1,,18003,2:28,
2019-10-19,7:00 PM,Vegas Golden Knights,3,Pittsburgh Penguins,0,,18610,2:29,
2019-10-19,10:30 PM,Buffalo Sabres,4,San Jose Sharks,3,,17562,2:26,
2019-10-19,3:00 PM,Montreal Canadiens,5,St. Louis Blues,2,,18096,2:24,
2019-10-19,7:00 PM,Colorado Avalanche,6,Tampa Bay Lightning,2,,19092,2:34,
2019-10-19,7:00 PM,Boston Bruins,3,Toronto Maple Leafs,4,OT,19394,2:29,
2019-10-20,9:00 PM,Calgary Flames,2,Anaheim Ducks,1,,15690,2:22,
2019-10-20,7:00 PM,Washington Capitals,5,Chicago Blackhawks,3,,21187,2:33,
2019-10-20,5:00 PM,Montreal Canadiens,3,Minnesota Wild,4,,17344,2:31,
2019-10-20,1:00 PM,Vancouver Canucks,3,New York Rangers,2,,17030,2:17,
2019-10-20,7:00 PM,Edmonton Oilers,0,Winnipeg Jets,1,SO,15321,2:31,
2019-10-21,8:30 PM,Ottawa Senators,1,Dallas Stars,2,,17896,2:27,
2019-10-21,7:00 PM,Vegas Golden Knights,2,Philadelphia Flyers,6,,16780,2:21,
2019-10-21,8:00 PM,Colorado Avalanche,1,St. Louis Blues,3,,18096,2:31,
2019-10-21,7:00 PM,Columbus Blue Jackets,4,Toronto Maple Leafs,3,OT,18898,2:33,
2019-10-22,7:00 PM,Toronto Maple Leafs,2,Boston Bruins,4,,17193,2:44,
2019-10-22,7:00 PM,San Jose Sharks,3,Buffalo Sabres,4,OT,15876,2:32,
2019-10-22,9:00 PM,Washington Capitals,5,Calgary Flames,3,,18002,2:24,
2019-10-22,8:30 PM,Vegas Golden Knights,2,Chicago Blackhawks,1,SO,21172,2:39,
2019-10-22,7:30 PM,Vancouver Canucks,5,Detroit Red Wings,2,,18455,2:27,
2019-10-22,7:00 PM,Pittsburgh Penguins,2,Florida Panthers,4,,12738,2:14,
2019-10-22,8:00 PM,Edmonton Oilers,0,Minnesota Wild,3,,17189,2:26,
2019-10-22,8:00 PM,Anaheim Ducks,1,Nashville Predators,6,,17424,2:27,
2019-10-22,7:00 PM,Arizona Coyotes,3,New York Rangers,2,OT,17435,2:25,
2019-10-22,8:00 PM,Los Angeles Kings,3,Winnipeg Jets,2,,15325,2:33,
2019-10-23,7:30 PM,Detroit Red Wings,2,Ottawa Senators,5,,11026,2:35,
2019-10-23,8:00 PM,Pittsburgh Penguins,2,Tampa Bay Lightning,3,,19092,2:39,
2019-10-24,7:00 PM,Carolina Hurricanes,3,Columbus Blue Jackets,4,OT,15398,2:26,
2019-10-24,9:00 PM,Florida Panthers,5,Calgary Flames,6,SO,18011,2:39,
2019-10-24,8:30 PM,Philadelphia Flyers,4,Chicago Blackhawks,1,,21315,2:24,
2019-10-24,8:30 PM,Anaheim Ducks,1,Dallas Stars,2,,17754,2:29,
2019-10-24,9:00 PM,Washington Capitals,3,Edmonton Oilers,4,OT,17144,2:45,
2019-10-24,7:00 PM,San Jose Sharks,4,Montreal Canadiens,2,,21052,2:36,
2019-10-24,8:00 PM,Minnesota Wild,0,Nashville Predators,4,,17386,2:21,
2019-10-24,7:00 PM,Arizona Coyotes,2,New York Islanders,4,,10752,2:27,
2019-10-24,7:00 PM,Buffalo Sabres,2,New York Rangers,6,,16913,2:19,
2019-10-24,8:00 PM,Los Angeles Kings,2,St. Louis Blues,5,,18096,2:24,
2019-10-25,7:30 PM,Buffalo Sabres,2,Detroit Red Wings,0,,18616,2:27,
2019-10-25,7:00 PM,Arizona Coyotes,5,New Jersey Devils,3,,14724,2:30,
2019-10-25,7:30 PM,New York Islanders,4,Ottawa Senators,2,,11189,2:38,
2019-10-25,7:00 PM,San Jose Sharks,1,Toronto Maple Leafs,4,,19102,2:46,
2019-10-25,10:00 PM,Washington Capitals,6,Vancouver Canucks,5,SO,18871,2:40,
2019-10-25,6:00 PM,Colorado Avalanche,6,Vegas Golden Knights,1,,18420,2:18,
2019-10-26,7:00 PM,St. Louis Blues,0,Boston Bruins,3,,17193,2:29,
2019-10-26,1:00 PM,Chicago Blackhawks,0,Carolina Hurricanes,4,,15738,2:16,
2019-10-26,9:00 PM,Anaheim Ducks,5,Colorado Avalanche,2,,18039,2:40,
2019-10-26,8:00 PM,Pittsburgh Penguins,3,Dallas Stars,0,,18532,2:31,
2019-10-26,8:00 PM,Los Angeles Kings,1,Minnesota Wild,5,,17444,2:21,
2019-10-26,7:00 PM,Toronto Maple Leafs,2,Montreal Canadiens,5,,21302,2:28,
2019-10-26,7:00 PM,Columbus Blue Jackets,4,Philadelphia Flyers,7,,17840,2:29,
2019-10-26,7:00 PM,Nashville Predators,3,Tampa Bay Lightning,2,OT,19092,2:35,
2019-10-26,10:00 PM,Calgary Flames,1,Winnipeg Jets,2,OT,33518,2:45,at Mosaic Stadium (Regina SK)
2019-10-27,7:00 PM,Los Angeles Kings,1,Chicago Blackhawks,5,,21334,2:22,
2019-10-27,5:00 PM,St. Louis Blues,5,Detroit Red Wings,4,OT,18331,2:23,
2019-10-27,4:00 PM,Florida Panthers,6,Edmonton Oilers,2,,17278,2:24,
2019-10-27,7:00 PM,Philadelphia Flyers,3,New York Islanders,5,,12055,2:27,
2019-10-27,7:00 PM,Boston Bruins,7,New York Rangers,4,,17144,2:37,
2019-10-27,7:00 PM,San Jose Sharks,2,Ottawa Senators,5,,9740,2:24,
2019-10-27,8:00 PM,Anaheim Ducks,2,Vegas Golden Knights,5,,18110,2:40,
2019-10-28,7:00 PM,Arizona Coyotes,3,Buffalo Sabres,2,SO,15358,2:36,
2019-10-28,10:00 PM,Florida Panthers,2,Vancouver Canucks,7,,17864,2:20,
2019-10-29,10:00 PM,Winnipeg Jets,4,Anaheim Ducks,7,,15171,2:34,
2019-10-29,7:00 PM,San Jose Sharks,1,Boston Bruins,5,,17193,3:17,
2019-10-29,7:00 PM,Calgary Flames,1,Carolina Hurricanes,2,,13864,2:33,
2019-10-29,8:30 PM,Minnesota Wild,3,Dallas Stars,6,,17756,2:30,
2019-10-29,7:30 PM,Edmonton Oilers,1,Detroit Red Wings,3,,19515,2:28,
2019-10-29,8:00 PM,Chicago Blackhawks,0,Nashville Predators,3,,17259,2:26,
2019-10-29,7:30 PM,Tampa Bay Lightning,1,New York Rangers,4,,17196,2:37,
2019-10-29,7:00 PM,Philadelphia Flyers,1,Pittsburgh Penguins,7,,18560,2:30,
2019-10-29,7:00 PM,Washington Capitals,4,Toronto Maple Leafs,3,OT,19258,3:05,
2019-10-30,10:00 PM,Montreal Canadiens,4,Arizona Coyotes,1,,14004,2:27,
2019-10-30,7:30 PM,Edmonton Oilers,4,Columbus Blue Jackets,1,,14193,2:20,
2019-10-30,10:00 PM,Florida Panthers,4,Colorado Avalanche,3,OT,16022,2:51,
2019-10-30,10:30 PM,Vancouver Canucks,5,Los Angeles Kings,3,,15565,2:30,
2019-10-30,7:00 PM,Tampa Bay Lightning,7,New Jersey Devils,6,OT,13152,2:33,
2019-10-30,8:00 PM,Minnesota Wild,1,St. Louis Blues,2,,18096,2:27,
2019-10-31,8:00 PM,Calgary Flames,6,Nashville Predators,5,OT,17351,2:33,
2019-10-31,10:00 PM,Montreal Canadiens,5,Vegas Golden Knights,4,OT,18035,2:32,
2019-11-01,10:00 PM,Vancouver Canucks,1,Anaheim Ducks,2,OT,15173,2:31,
2019-11-01,7:30 PM,Detroit Red Wings,3,Carolina Hurricanes,7,,15383,2:27,
2019-11-01,9:00 PM,Dallas Stars,2,Colorado Avalanche,1,,18020,2:35,
2019-11-01,7:00 PM,Philadelphia Flyers,4,New Jersey Devils,3,SO,14624,2:58,
2019-11-01,7:00 PM,Tampa Bay Lightning,2,New York Islanders,5,,12043,2:27,
2019-11-01,10:30 PM,Winnipeg Jets,3,San Jose Sharks,2,,15117,2:27,
2019-11-01,8:00 PM,Columbus Blue Jackets,3,St. Louis Blues,4,OT,18096,2:33,
2019-11-01,7:00 PM,Buffalo Sabres,1,Washington Capitals,6,,18573,2:42,
2019-11-02,9:00 PM,Colorado Avalanche,0,Arizona Coyotes,3,,17125,2:23,
2019-11-02,7:00 PM,Ottawa Senators,2,Boston Bruins,5,,17193,3:48,
2019-11-02,7:00 PM,New York Islanders,1,Buffalo Sabres,0,,19070,2:16,
2019-11-02,7:00 PM,New Jersey Devils,5,Carolina Hurricanes,3,,15079,2:37,
2019-11-02,7:00 PM,Calgary Flames,3,Columbus Blue Jackets,0,,15618,2:23,
2019-11-02,7:00 PM,Montreal Canadiens,1,Dallas Stars,4,,18532,2:34,
2019-11-02,7:00 PM,Detroit Red Wings,0,Florida Panthers,4,,14411,2:22,
2019-11-02,10:30 PM,Chicago Blackhawks,3,Los Angeles Kings,4,OT,18230,2:38,
2019-11-02,8:00 PM,St. Louis Blues,4,Minnesota Wild,3,OT,18208,2:34,
2019-11-02,2:00 PM,New York Rangers,2,Nashville Predators,1,,17371,2:17,
2019-11-02,7:00 PM,Toronto Maple Leafs,4,Philadelphia Flyers,3,SO,18441,2:40,
2019-11-02,1:00 PM,Edmonton Oilers,2,Pittsburgh Penguins,1,OT,18618,2:41,
2019-11-02,10:00 PM,Vancouver Canucks,5,San Jose Sharks,2,,16480,2:28,
2019-11-02,10:00 PM,Winnipeg Jets,4,Vegas Golden Knights,3,OT,18276,2:41,
2019-11-03,8:00 PM,Chicago Blackhawks,3,Anaheim Ducks,2,OT,15576,2:35,
2019-11-03,7:00 PM,Calgary Flames,2,Washington Capitals,4,,18573,2:29,
2019-11-04,7:00 PM,Pittsburgh Penguins,4,Boston Bruins,6,,17193,2:33,
2019-11-04,7:30 PM,Nashville Predators,6,Detroit Red Wings,1,,18526,2:27,
2019-11-04,9:00 PM,Arizona Coyotes,3,Edmonton Oilers,2,OT,17105,2:29,
2019-11-04,7:00 PM,Ottawa Senators,6,New York Rangers,2,,16302,2:37,
2019-11-05,10:00 PM,Minnesota Wild,4,Anaheim Ducks,2,,15526,2:24,
2019-11-05,7:00 PM,Vegas Golden Knights,2,Columbus Blue Jackets,1,,15435,2:29,
2019-11-05,9:00 PM,Arizona Coyotes,3,Calgary Flames,4,OT,17824,2:39,
2019-11-05,8:30 PM,Colorado Avalanche,1,Dallas Stars,4,,18108,2:34,
2019-11-05,7:30 PM,Boston Bruins,4,Montreal Canadiens,5,,21302,2:33,
2019-11-05,7:00 PM,Ottawa Senators,1,New York Islanders,4,,11212,2:34,at Barclays Center (Brooklyn NY)
2019-11-05,7:00 PM,Carolina Hurricanes,1,Philadelphia Flyers,4,,16172,2:25,
2019-11-05,10:00 PM,Chicago Blackhawks,2,San Jose Sharks,4,,16087,2:21,
2019-11-05,7:30 PM,Los Angeles Kings,1,Toronto Maple Leafs,3,,19195,2:25,
2019-11-05,10:00 PM,St. Louis Blues,2,Vancouver Canucks,1,OT,18789,2:23,
2019-11-05,8:00 PM,New Jersey Devils,2,Winnipeg Jets,1,SO,15325,2:41,
2019-11-06,8:30 PM,St. Louis Blues,5,Edmonton Oilers,2,,17068,2:30,
2019-11-06,8:00 PM,Detroit Red Wings,1,New York Rangers,5,,16804,2:26,
2019-11-07,9:00 PM,Columbus Blue Jackets,3,Arizona Coyotes,2,,12115,2:21,
2019-11-07,7:00 PM,New York Rangers,4,Carolina Hurricanes,2,,13878,2:22,
2019-11-07,9:00 PM,New Jersey Devils,2,Calgary Flames,5,,18851,2:31,
2019-11-07,8:30 PM,Vancouver Canucks,2,Chicago Blackhawks,5,,21418,2:28,
2019-11-07,9:00 PM,Nashville Predators,4,Colorado Avalanche,9,,17492,2:32,
2019-11-07,7:00 PM,Washington Capitals,5,Florida Panthers,4,OT,14085,2:28,
2019-11-07,7:00 PM,Pittsburgh Penguins,4,New York Islanders,3,OT,12613,2:25,at Barclays Center (Brooklyn NY)
2019-11-07,7:30 PM,Los Angeles Kings,2,Ottawa Senators,3,OT,9929,2:32,
2019-11-07,7:00 PM,Montreal Canadiens,2,Philadelphia Flyers,3,OT,16788,2:28,
2019-11-07,10:30 PM,Minnesota Wild,5,San Jose Sharks,6,,15764,2:33,
2019-11-07,7:00 PM,Vegas Golden Knights,1,Toronto Maple Leafs,2,OT,19218,2:34,
2019-11-08,2:00 PM,Tampa Bay Lightning,3,Buffalo Sabres,2,,13230,2:33,NHL Global Series
2019-11-08,7:30 PM,Boston Bruins,2,Detroit Red Wings,4,,19515,2:43,
2019-11-08,9:00 PM,New Jersey Devils,0,Edmonton Oilers,4,,17240,2:24,
2019-11-08,8:00 PM,Vancouver Canucks,1,Winnipeg Jets,4,,15325,2:19,
2019-11-09,8:00 PM,Minnesota Wild,4,Arizona Coyotes,3,,14428,2:25,
2019-11-09,10:00 PM,St. Louis Blues,3,Calgary Flames,2,OT,19289,2:34,
2019-11-09,9:00 PM,Columbus Blue Jackets,2,Colorado Avalanche,4,,18070,2:25,
2019-11-09,7:00 PM,Los Angeles Kings,2,Montreal Canadiens,3,,21302,2:28,
2019-11-09,1:00 PM,Florida Panthers,1,New York Islanders,2,,13100,2:43,at Barclays Center (Brooklyn NY)
2019-11-09,7:00 PM,Carolina Hurricanes,1,Ottawa Senators,4,,12276,2:33,
2019-11-09,7:00 PM,Chicago Blackhawks,2,Pittsburgh Penguins,3,SO,18653,2:36,
2019-11-09,10:30 PM,Nashville Predators,1,San Jose Sharks,2,SO,17562,2:36,
2019-11-09,1:00 PM,Buffalo Sabres,3,Tampa Bay Lightning,5,,13339,2:42,NHL Global Series
2019-11-09,7:00 PM,Philadelphia Flyers,3,Toronto Maple Leafs,2,SO,19279,2:55,
2019-11-09,7:00 PM,Vegas Golden Knights,2,Washington Capitals,5,,18573,2:37,
2019-11-10,9:00 PM,Edmonton Oilers,6,Anaheim Ducks,2,,16463,2:24,
2019-11-10,7:00 PM,Philadelphia Flyers,3,Boston Bruins,2,SO,17193,2:50,
2019-11-10,7:00 PM,Toronto Maple Leafs,4,Chicago Blackhawks,5,,21598,2:47,
2019-11-10,5:00 PM,Vegas Golden Knights,2,Detroit Red Wings,3,,19057,2:24,
2019-11-10,1:00 PM,Florida Panthers,6,New York Rangers,5,SO,17464,2:38,
2019-11-10,4:00 PM,New Jersey Devils,2,Vancouver Canucks,1,,18871,2:20,
2019-11-10,2:00 PM,Dallas Stars,2,Winnipeg Jets,3,OT,15323,2:30,
2019-11-11,7:00 PM,Ottawa Senators,2,Carolina Hurricanes,8,,12356,2:43,
2019-11-11,7:00 PM,Arizona Coyotes,4,Washington Capitals,3,SO,18573,2:42,
2019-11-12,10:00 PM,Detroit Red Wings,4,Anaheim Ducks,3,OT,15046,2:48,
2019-11-12,7:00 PM,Florida Panthers,5,Boston Bruins,4,SO,17850,2:47,
2019-11-12,10:30 PM,Minnesota Wild,1,Los Angeles Kings,3,,16099,2:26,
2019-11-12,7:00 PM,Columbus Blue Jackets,2,Montreal Canadiens,3,SO,20758,2:44,
2019-11-12,7:30 PM,Pittsburgh Penguins,2,New York Rangers,3,OT,16904,2:23,
2019-11-12,10:30 PM,Edmonton Oilers,3,San Jose Sharks,6,,15567,2:24,
2019-11-12,8:00 PM,Arizona Coyotes,3,St. Louis Blues,2,SO,18096,2:38,
2019-11-12,10:00 PM,Nashville Predators,3,Vancouver Canucks,5,,18233,2:25,
2019-11-12,8:00 PM,Colorado Avalanche,4,Winnipeg Jets,0,,15325,2:23,
2019-11-13,9:30 PM,Dallas Stars,3,Calgary Flames,1,,18257,2:25,
2019-11-13,7:00 PM,Ottawa Senators,4,New Jersey Devils,2,,13438,2:55,
2019-11-13,7:00 PM,Toronto Maple Leafs,4,New York Islanders,5,,13293,2:17,
2019-11-13,7:30 PM,Washington Capitals,2,Philadelphia Flyers,1,SO,18159,2:40,
2019-11-13,10:00 PM,Chicago Blackhawks,5,Vegas Golden Knights,3,,18324,2:32,
2019-11-14,10:00 PM,San Jose Sharks,5,Anaheim Ducks,3,,16007,2:26,
2019-11-14,7:00 PM,Carolina Hurricanes,5,Buffalo Sabres,4,OT,16603,2:49,
2019-11-14,9:00 PM,Colorado Avalanche,2,Edmonton Oilers,6,,17188,2:32,
2019-11-14,7:00 PM,Winnipeg Jets,4,Florida Panthers,3,,12190,2:20,
2019-11-14,10:30 PM,Detroit Red Wings,2,Los Angeles Kings,3,OT,16871,2:26,
2019-11-14,8:00 PM,Arizona Coyotes,2,Minnesota Wild,3,,17079,2:31,
2019-11-14,7:00 PM,New York Rangers,3,Tampa Bay Lightning,9,,19092,2:41,
2019-11-14,10:00 PM,Dallas Stars,4,Vancouver Canucks,2,,18642,2:25,
2019-11-15,7:00 PM,St. Louis Blues,2,Columbus Blue Jackets,3,OT,18505,2:36,
2019-11-15,7:00 PM,Pittsburgh Penguins,1,New Jersey Devils,2,,16514,2:29,
